order_id,customer_id,customer_name,category,sub_category,unit_price,quantity,discount_pct,discount_amount,line_total,payment_method,order_date,order_year,order_month,order_quarter,order_year_month,shipping_status,is_returned,region,state
ORD-103842,CUST-3628,Mary Davis,Home & Garden,Furniture,716.02,1,0.0,0.0,716.02,Gift Card,2022-03-11,2022,3,1,2022-03,Cancelled,False,South,Virginia
ORD-112700,CUST-1822,Margaret Jones,Home & Garden,Bedding,734.92,3,5.0,110.24,2094.52,Paypal,2022-05-13,2022,5,2,2022-05,Processing,False,East,Wisconsin
ORD-107044,CUST-4054,Joseph Anderson,Sports,Cycling,1399.31,1,20.0,279.86,1119.45,Debit Card,2022-02-11,2022,2,1,2022-02,Returned,True,East,Illinois
ORD-109458,CUST-2574,Anthony King,Beauty,Fragrances,996.41,5,0.0,0.0,4982.05,Gift Card,2023-02-17,2023,2,1,2023-02,Returned,True,East,Indiana
ORD-100251,CUST-1764,Susan Martin,Books,Academic,580.72,4,0.0,0.0,2322.88,Bank Transfer,2023-05-28,2023,5,2,2023-05,Returned,True,North,New York
ORD-103288,CUST-2367,Sandra Lewis,Beauty,Skincare,1353.15,9,10.0,1217.84,10960.51,Debit Card,2024-01-25,2024,1,1,2024-01,Cancelled,False,North,Massachusetts
ORD-110223,CUST-3899,Nancy Williams,Sports,Cycling,394.29,3,10.0,118.29,1064.58,Bank Transfer,2022-02-13,2022,2,1,2022-02,Returned,True,West,California
ORD-113980,CUST-5155,Nancy Wilson,Toys,Board Games,174.26,7,5.0,60.99,1158.83,Paypal,2023-03-24,2023,3,1,2023-03,Delivered,False,East,Wisconsin
ORD-108798,CUST-4083,Michael Garcia,Food & Beverage,Organic,194.19,1,25.0,48.55,145.64,Paypal,2023-09-23,2023,9,3,2023-09,Delivered,False,West,Nevada
ORD-103058,CUST-4393,Lisa Harris,Toys,Puzzles,118.0,6,0.0,0.0,708.0,Debit Card,2022-11-24,2022,11,4,2022-11,Cancelled,False,South,Florida
ORD-100339,CUST-5543,Nancy Robinson,Toys,Dolls,151.26,4,25.0,151.26,453.78,Debit Card,2022-06-22,2022,6,2,2022-06,Cancelled,False,West,California
ORD-106955,CUST-2220,Emily Miller,Beauty,Skincare,542.94,2,0.0,0.0,1085.88,Gift Card,2023-03-28,2023,3,1,2023-03,Cancelled,False,East,Michigan
ORD-104676,CUST-1255,Sandra Taylor,Beauty,Fragrances,75.56,3,5.0,11.33,215.35,Paypal,2024-01-28,2024,1,1,2024-01,Delivered,False,Central,Kansas
ORD-111194,CUST-1734,John Garcia,Electronics,Cameras,196.7,1,0.0,0.0,196.7,Gift Card,2024-02-28,2024,2,1,2024-02,Delivered,False,Central,Iowa
ORD-109191,CUST-1313,Nancy Young,Home & Garden,Kitchenware,28.39,9,0.0,0.0,255.51,Paypal,2024-06-09,2024,6,2,2024-06,Cancelled,False,West,Washington
ORD-111621,CUST-1234,Jessica Thompson,Home & Garden,Bedding,414.71,8,20.0,663.54,2654.14,Paypal,2022-09-06,2022,9,3,2022-09,Processing,False,South,Virginia
ORD-109604,CUST-3227,Richard Walker,Sports,Water Sports,982.28,6,10.0,589.37,5304.31,Gift Card,2024-03-19,2024,3,1,2024-03,Shipped,False,East,Michigan
ORD-108101,CUST-4182,Ashley Jones,Clothing,Accessories,1482.45,7,10.0,1037.71,9339.44,Paypal,2024-01-24,2024,1,1,2024-01,Processing,False,North,New Jersey
ORD-114184,CUST-4837,Richard Martin,Electronics,Tablets,845.04,8,25.0,1690.08,5070.24,Debit Card,2023-11-13,2023,11,4,2023-11,Shipped,False,Central,Minnesota
ORD-104031,CUST-1038,Christopher Thomas,Home & Garden,Lighting,409.61,2,0.0,0.0,819.22,Credit Card,2022-07-02,2022,7,3,2022-07,Shipped,False,East,Michigan
ORD-104265,CUST-4662,Patricia Brown,Books,Fiction,665.84,4,15.0,399.5,2263.86,Gift Card,2024-01-20,2024,1,1,2024-01,Cancelled,False,Central,Missouri
ORD-102680,CUST-3914,Karen Smith,Clothing,Men'S Wear,405.05,4,10.0,162.02,1458.18,Gift Card,2023-09-29,2023,9,3,2023-09,Cancelled,False,North,Pennsylvania
ORD-101402,CUST-4621,Linda Thompson,Food & Beverage,Coffee & Tea,59.82,5,10.0,29.91,269.19,Credit Card,2024-04-12,2024,4,2,2024-04,Returned,True,Central,Kansas
ORD-113546,CUST-4755,Anthony Martin,Books,Non-Fiction,875.91,4,0.0,0.0,3503.64,Debit Card,2022-01-17,2022,1,1,2022-01,Returned,True,North,New York
ORD-109773,CUST-5771,Susan Lewis,Home & Garden,Garden Tools,634.96,4,10.0,253.98,2285.86,Gift Card,2022-09-12,2022,9,3,2022-09,Returned,True,South,Florida
ORD-113578,CUST-4874,Patricia Johnson,Home & Garden,Lighting,1453.15,4,20.0,1162.52,4650.08,Bank Transfer,2022-01-12,2022,1,1,2022-01,Processing,False,Central,Kansas
ORD-113968,CUST-4626,Jessica Lewis,Electronics,Smartphones,1144.54,8,5.0,457.82,8698.5,Debit Card,2023-10-13,2023,10,4,2023-10,Delivered,False,East,Michigan
ORD-106259,CUST-1413,Susan Harris,Toys,Stem Toys,327.12,9,0.0,0.0,2944.08,Bank Transfer,2022-11-08,2022,11,4,2022-11,Shipped,False,West,Arizona
ORD-112649,CUST-3282,Nancy Taylor,Food & Beverage,Coffee & Tea,1375.98,9,10.0,1238.38,11145.44,Debit Card,2023-05-28,2023,5,2,2023-05,Delivered,False,Central,Kansas
ORD-111098,CUST-4438,Christopher Wright,Beauty,Fragrances,1098.36,8,5.0,439.34,8347.54,Paypal,2022-09-03,2022,9,3,2022-09,Cancelled,False,West,Nevada
ORD-104395,CUST-1463,Karen Williams,Clothing,Accessories,1264.04,6,5.0,379.21,7205.03,Gift Card,2022-11-30,2022,11,4,2022-11,Returned,True,North,Pennsylvania
ORD-101547,CUST-1320,Anonymous,Books,Academic,827.59,6,0.0,0.0,4965.54,Debit Card,2024-05-08,2024,5,2,2024-05,Returned,True,Central,Kansas
ORD-100794,CUST-2510,Charles Davis,Clothing,Footwear,32.07,9,0.0,0.0,288.63,Credit Card,2022-01-20,2022,1,1,2022-01,Returned,True,Central,Missouri
ORD-101225,CUST-5625,Linda Thomas,Clothing,Footwear,959.6,1,10.0,95.96,863.64,Gift Card,2023-06-27,2023,6,2,2023-06,Returned,True,Central,Minnesota
ORD-111976,CUST-2398,William Allen,Clothing,Women'S Wear,674.08,3,0.0,0.0,2022.24,Debit Card,2023-10-05,2023,10,4,2023-10,Shipped,False,West,Nevada
ORD-102805,CUST-2140,Jessica Taylor,Beauty,Skincare,1466.08,8,0.0,0.0,11728.64,Credit Card,2022-11-27,2022,11,4,2022-11,Delivered,False,Central,Colorado
ORD-113552,CUST-2202,Margaret Wilson,Food & Beverage,Coffee & Tea,1217.88,7,20.0,1705.03,6820.13,Bank Transfer,2023-09-08,2023,9,3,2023-09,Cancelled,False,South,Texas
ORD-104104,CUST-1885,Barbara Johnson,Sports,Fitness Equipment,447.42,7,0.0,0.0,3131.94,Gift Card,2023-12-18,2023,12,4,2023-12,Shipped,False,East,Ohio
ORD-106817,CUST-3324,Christopher White,Toys,Board Games,1399.09,7,0.0,0.0,9793.63,Bank Transfer,2022-09-28,2022,9,3,2022-09,Cancelled,False,West,California
ORD-108809,CUST-1076,Jessica Robinson,Books,Comics,188.75,9,15.0,254.81,1443.94,Bank Transfer,2023-01-08,2023,1,1,2023-01,Delivered,False,West,California
ORD-110939,CUST-4336,Margaret Harris,Toys,Board Games,35.32,9,20.0,63.58,254.3,Credit Card,2022-05-08,2022,5,2,2022-05,Delivered,False,South,Georgia
ORD-103886,CUST-4654,Joseph Allen,Toys,Board Games,1375.05,6,0.0,0.0,8250.3,Bank Transfer,2024-05-11,2024,5,2,2024-05,Processing,False,South,Georgia
ORD-111717,CUST-5777,Linda Davis,Clothing,Footwear,1044.63,9,0.0,0.0,9401.67,Gift Card,2023-03-25,2023,3,1,2023-03,Delivered,False,South,Florida
ORD-114068,CUST-2708,Ashley Young,Books,Fiction,1199.06,5,5.0,299.76,5695.54,Gift Card,2023-04-25,2023,4,2,2023-04,Delivered,False,Central,Minnesota
ORD-103111,CUST-1675,John Johnson,Sports,Team Sports,366.82,1,0.0,0.0,366.82,Paypal,2023-04-07,2023,4,2,2023-04,Delivered,False,West,Washington
ORD-112023,CUST-1514,Anonymous,Sports,Team Sports,1461.49,7,0.0,0.0,10230.43,Credit Card,2022-02-04,2022,2,1,2022-02,Unknown,False,East,Illinois
ORD-102122,CUST-1258,David Martin,Beauty,Makeup,1450.85,7,5.0,507.8,9648.15,Bank Transfer,2024-05-01,2024,5,2,2024-05,Returned,True,Central,Missouri
ORD-114008,CUST-4630,Michael Jackson,Sports,Fitness Equipment,753.54,7,0.0,0.0,5274.78,Debit Card,2022-11-10,2022,11,4,2022-11,Delivered,False,East,Wisconsin
ORD-112736,CUST-5783,Patricia Wright,Clothing,Women'S Wear,353.41,5,10.0,176.7,1590.35,Paypal,2022-08-21,2022,8,3,2022-08,Delivered,False,Central,Iowa
ORD-100708,CUST-1235,Thomas Lewis,Beauty,Haircare,385.69,5,0.0,0.0,1928.45,Gift Card,2022-01-21,2022,1,1,2022-01,Returned,True,East,Indiana
ORD-100884,CUST-5945,Patricia Davis,Electronics,Laptops,1200.87,4,10.0,480.35,4323.13,Gift Card,2023-09-26,2023,9,3,2023-09,Cancelled,False,East,Illinois
ORD-102448,CUST-3821,Michael Williams,Clothing,Accessories,91.18,3,5.0,13.68,259.86,Bank Transfer,2024-03-12,2024,3,1,2024-03,Delivered,False,Central,Minnesota
ORD-113958,CUST-5828,Mark Thompson,Sports,Team Sports,971.66,7,0.0,0.0,6801.62,Credit Card,2022-05-21,2022,5,2,2022-05,Shipped,False,Central,Kansas
ORD-110861,CUST-3113,Donald Lewis,Toys,Board Games,512.6,2,10.0,102.52,922.68,Paypal,2023-07-03,2023,7,3,2023-07,Shipped,False,West,Washington
ORD-101534,CUST-2542,Patricia Williams,Toys,Dolls,623.26,7,10.0,436.28,3926.54,Gift Card,2022-02-20,2022,2,1,2022-02,Processing,False,West,California
ORD-101034,CUST-5371,Sandra Allen,Beauty,Fragrances,120.05,2,0.0,0.0,240.1,Paypal,2023-01-26,2023,1,1,2023-01,Processing,False,West,Washington
ORD-104746,CUST-5232,Margaret Wilson,Clothing,Footwear,288.86,2,0.0,0.0,577.72,Credit Card,2022-03-28,2022,3,1,2022-03,Delivered,False,West,California
ORD-113320,CUST-5479,Emily Davis,Electronics,Tablets,1023.89,7,20.0,1433.45,5733.78,Bank Transfer,2023-10-04,2023,10,4,2023-10,Cancelled,False,North,Pennsylvania
ORD-110010,CUST-1973,Lisa Smith,Home & Garden,Lighting,1329.68,5,5.0,332.42,6315.98,Bank Transfer,2022-08-10,2022,8,3,2022-08,Shipped,False,Central,Colorado
ORD-113826,CUST-1292,Michael Wright,Beauty,Skincare,738.24,3,10.0,221.47,1993.25,Unknown,2023-03-19,2023,3,1,2023-03,Shipped,False,East,Illinois
ORD-112815,CUST-3730,Donald Smith,Sports,Fitness Equipment,156.22,3,15.0,70.3,398.36,Credit Card,2023-10-19,2023,10,4,2023-10,Returned,True,South,Florida
ORD-103014,CUST-3855,Sarah Wright,Beauty,Haircare,933.83,1,0.0,0.0,933.83,Bank Transfer,2023-02-24,2023,2,1,2023-02,Unknown,False,South,Virginia
ORD-101593,CUST-1149,Mary Lewis,Food & Beverage,Snacks,160.64,1,15.0,24.1,136.54,Credit Card,2023-09-11,2023,9,3,2023-09,Cancelled,False,East,Ohio
ORD-103474,CUST-4235,John Davis,Beauty,Skincare,1258.04,5,5.0,314.51,5975.69,Gift Card,2022-06-03,2022,6,2,2022-06,Delivered,False,West,Washington
ORD-102357,CUST-1371,Anthony Jackson,Toys,Stem Toys,104.33,5,10.0,52.16,469.49,Paypal,2024-04-28,2024,4,2,2024-04,Processing,False,North,New Jersey
ORD-106664,CUST-3121,Betty Thompson,Books,Non-Fiction,1340.8,7,20.0,1877.12,7508.48,Credit Card,2023-09-28,2023,9,3,2023-09,Cancelled,False,East,Illinois
ORD-114194,CUST-1598,David Brown,Beauty,Makeup,152.64,7,5.0,53.42,1015.06,Paypal,2022-01-06,2022,1,1,2022-01,Delivered,False,Central,Minnesota
ORD-102087,CUST-3609,Jessica Young,Electronics,Tablets,986.89,8,20.0,1579.02,6316.1,Gift Card,2023-02-11,2023,2,1,2023-02,Processing,False,West,Oregon
ORD-110200,CUST-5519,Margaret Thomas,Sports,Fitness Equipment,784.3,4,20.0,627.44,2509.76,Bank Transfer,2024-06-18,2024,6,2,2024-06,Processing,False,North,Pennsylvania
ORD-103447,CUST-1994,Ashley Wright,Books,Non-Fiction,1074.07,4,15.0,644.44,3651.84,Paypal,2023-08-23,2023,8,3,2023-08,Delivered,False,North,Pennsylvania
ORD-103269,CUST-2039,Patricia Smith,Toys,Board Games,1034.5,6,0.0,0.0,6207.0,Credit Card,2022-12-21,2022,12,4,2022-12,Delivered,False,North,New Jersey
ORD-110774,CUST-5072,Karen Young,Toys,Stem Toys,324.83,1,0.0,0.0,324.83,Credit Card,2024-01-01,2024,1,1,2024-01,Delivered,False,West,Washington
ORD-108953,CUST-5815,Linda Wright,Books,Academic,849.4,6,0.0,0.0,5096.4,Debit Card,2023-02-13,2023,2,1,2023-02,Unknown,False,North,New York
ORD-108570,CUST-2164,Richard Jones,Food & Beverage,Supplements,592.79,4,0.0,0.0,2371.16,Paypal,2023-04-11,2023,4,2,2023-04,Delivered,False,North,Pennsylvania
ORD-108719,CUST-5655,Mark Wilson,Electronics,Cameras,746.1,4,0.0,0.0,2984.4,Gift Card,2024-05-26,2024,5,2,2024-05,Delivered,False,North,New Jersey
ORD-100937,CUST-1422,Christopher Thompson,Toys,Board Games,1371.88,2,0.0,0.0,2743.76,Credit Card,2023-03-02,2023,3,1,2023-03,Returned,True,West,Arizona
ORD-114405,CUST-2512,Nancy Walker,Sports,Water Sports,48.41,7,0.0,0.0,338.87,Bank Transfer,2023-09-23,2023,9,3,2023-09,Cancelled,False,West,Oregon
ORD-105701,CUST-3649,Betty Wright,Books,Academic,535.05,7,10.0,374.53,3370.82,Gift Card,2022-12-30,2022,12,4,2022-12,Processing,False,North,New York
ORD-108654,CUST-1197,Mary White,Food & Beverage,Coffee & Tea,560.34,8,0.0,0.0,4482.72,Bank Transfer,2023-09-11,2023,9,3,2023-09,Delivered,False,Central,Minnesota
ORD-113730,CUST-5663,Karen Martin,Sports,Fitness Equipment,513.64,9,0.0,0.0,4622.76,Debit Card,2023-12-20,2023,12,4,2023-12,Returned,True,South,Florida
ORD-104751,CUST-4324,Donald Davis,Beauty,Fragrances,669.05,5,5.0,167.26,3177.99,Debit Card,2023-05-14,2023,5,2,2023-05,Returned,True,East,Michigan
ORD-107502,CUST-5088,Jennifer Smith,Sports,Water Sports,192.01,8,20.0,307.22,1228.86,Bank Transfer,2023-10-12,2023,10,4,2023-10,Unknown,False,West,Nevada
ORD-105849,CUST-1241,Joseph Garcia,Toys,Stem Toys,761.54,5,0.0,0.0,3807.7,Paypal,2022-12-30,2022,12,4,2022-12,Returned,True,East,Michigan
ORD-110615,CUST-5764,Patricia Anderson,Electronics,Tablets,769.39,3,20.0,461.63,1846.54,Bank Transfer,2024-06-15,2024,6,2,2024-06,Cancelled,False,Central,Iowa
ORD-114564,CUST-5264,Karen Garcia,Toys,Action Figures,679.57,1,5.0,33.98,645.59,Debit Card,2022-11-14,2022,11,4,2022-11,Processing,False,North,New York
ORD-110029,CUST-5007,Daniel Wilson,Electronics,Tablets,1009.99,5,0.0,0.0,5049.95,Credit Card,2022-02-01,2022,2,1,2022-02,Processing,False,North,New York
ORD-113865,CUST-2395,Daniel Jones,Home & Garden,Kitchenware,1006.24,1,0.0,0.0,1006.24,Debit Card,2022-02-23,2022,2,1,2022-02,Shipped,False,North,Connecticut
ORD-109520,CUST-4677,Joseph White,Clothing,Men'S Wear,486.9,8,0.0,0.0,3895.2,Gift Card,2023-03-10,2023,3,1,2023-03,Shipped,False,East,Michigan
ORD-103087,CUST-5734,Karen Wright,Clothing,Women'S Wear,741.74,2,15.0,222.52,1260.96,Paypal,2022-01-19,2022,1,1,2022-01,Processing,False,East,Indiana
ORD-102957,CUST-2366,Ashley Harris,Beauty,Haircare,1293.23,6,20.0,1551.88,6207.5,Paypal,2023-01-05,2023,1,1,2023-01,Shipped,False,South,Georgia
ORD-109780,CUST-5939,Sandra Garcia,Toys,Stem Toys,551.04,3,10.0,165.31,1487.81,Paypal,2023-04-24,2023,4,2,2023-04,Cancelled,False,East,Indiana
ORD-108209,CUST-4987,John Anderson,Toys,Puzzles,240.7,9,0.0,0.0,2166.3,Bank Transfer,2022-03-06,2022,3,1,2022-03,Processing,False,North,Connecticut
ORD-114209,CUST-2845,Karen Johnson,Food & Beverage,Supplements,40.59,7,0.0,0.0,284.13,Credit Card,2023-11-27,2023,11,4,2023-11,Processing,False,Central,Iowa
ORD-109581,CUST-1751,John Allen,Home & Garden,Bedding,823.68,1,20.0,164.74,658.94,Credit Card,2022-02-02,2022,2,1,2022-02,Cancelled,False,North,Massachusetts
ORD-101053,CUST-3657,Karen Thompson,Electronics,Cameras,1199.18,4,0.0,0.0,4796.72,Credit Card,2024-05-07,2024,5,2,2024-05,Processing,False,Central,Colorado
ORD-113902,CUST-1269,Nancy Johnson,Books,Fiction,929.8,6,5.0,278.94,5299.86,Gift Card,2023-12-17,2023,12,4,2023-12,Returned,True,Central,Kansas
ORD-105748,CUST-2157,Jessica Thompson,Clothing,Women'S Wear,1478.47,7,0.0,0.0,10349.29,Debit Card,2023-01-05,2023,1,1,2023-01,Delivered,False,South,North Carolina
ORD-107501,CUST-4479,Donald Williams,Books,Fiction,1250.18,4,15.0,750.11,4250.61,Gift Card,2022-05-09,2022,5,2,2022-05,Delivered,False,East,Illinois
ORD-109599,CUST-3483,Robert Davis,Electronics,Headphones,600.76,4,15.0,360.46,2042.58,Credit Card,2024-06-25,2024,6,2,2024-06,Shipped,False,Central,Kansas
ORD-109892,CUST-2541,Lisa Young,Food & Beverage,Coffee & Tea,1218.73,5,20.0,1218.73,4874.92,Debit Card,2023-09-02,2023,9,3,2023-09,Cancelled,False,South,Florida
ORD-109313,CUST-1563,Sandra Thomas,Electronics,Cameras,554.93,7,10.0,388.45,3496.06,Credit Card,2023-11-09,2023,11,4,2023-11,Returned,True,North,New Jersey
ORD-103684,CUST-4352,Christopher Davis,Clothing,Footwear,741.74,4,10.0,296.7,2670.26,Bank Transfer,2022-02-23,2022,2,1,2022-02,Cancelled,False,South,Florida
ORD-109238,CUST-4069,Sandra Williams,Sports,Water Sports,746.85,4,5.0,149.37,2838.03,Credit Card,2023-11-06,2023,11,4,2023-11,Shipped,False,West,Nevada
ORD-110558,CUST-5301,Sandra Lewis,Sports,Outdoor Gear,468.1,1,0.0,0.0,468.1,Gift Card,2023-09-16,2023,9,3,2023-09,Shipped,False,North,Pennsylvania
ORD-107691,CUST-4712,Joseph Thompson,Clothing,Men'S Wear,1322.25,2,0.0,0.0,2644.5,Credit Card,2022-09-19,2022,9,3,2022-09,Processing,False,East,Michigan
ORD-113706,CUST-3736,Lisa Lewis,Toys,Board Games,841.96,3,0.0,0.0,2525.88,Credit Card,2022-09-25,2022,9,3,2022-09,Delivered,False,Central,Iowa
ORD-106067,CUST-1476,Robert Wilson,Beauty,Makeup,504.4,5,5.0,126.1,2395.9,Unknown,2022-03-08,2022,3,1,2022-03,Cancelled,False,South,North Carolina
ORD-107507,CUST-4278,Mark Thomas,Home & Garden,Furniture,493.78,1,0.0,0.0,493.78,Bank Transfer,2022-04-24,2022,4,2,2022-04,Cancelled,False,South,Florida
ORD-102638,CUST-1381,Betty Jones,Clothing,Kids' Wear,1426.41,8,20.0,2282.26,9129.02,Debit Card,2022-02-14,2022,2,1,2022-02,Shipped,False,South,Texas
ORD-108727,CUST-5427,Daniel White,Toys,Action Figures,326.04,7,0.0,0.0,2282.28,Paypal,2022-08-22,2022,8,3,2022-08,Processing,False,West,Arizona
ORD-111616,CUST-2970,Anthony Lewis,Home & Garden,Furniture,485.45,3,0.0,0.0,1456.35,Credit Card,2022-05-17,2022,5,2,2022-05,Cancelled,False,East,Indiana
ORD-111858,CUST-5736,Jessica Davis,Beauty,Haircare,1189.36,7,10.0,832.55,7492.97,Gift Card,2023-05-27,2023,5,2,2023-05,Cancelled,False,North,Connecticut
ORD-110460,CUST-3295,Michael Young,Clothing,Kids' Wear,760.06,9,0.0,0.0,6840.54,Gift Card,2023-12-04,2023,12,4,2023-12,Cancelled,False,West,Arizona
ORD-104336,CUST-4545,Christopher Brown,Clothing,Kids' Wear,901.19,4,5.0,180.24,3424.52,Gift Card,2022-05-08,2022,5,2,2022-05,Returned,True,North,Massachusetts
ORD-102932,CUST-3436,William Wright,Sports,Fitness Equipment,122.29,8,0.0,0.0,978.32,Gift Card,2022-11-05,2022,11,4,2022-11,Shipped,False,Central,Kansas
ORD-104503,CUST-3101,Sarah Davis,Electronics,Headphones,14.66,5,0.0,0.0,73.3,Debit Card,2022-05-22,2022,5,2,2022-05,Returned,True,North,Connecticut
ORD-106661,CUST-2789,Jessica Martin,Books,Children'S,665.57,6,0.0,0.0,3993.42,Credit Card,2023-05-06,2023,5,2,2023-05,Returned,True,South,Texas
ORD-101006,CUST-1357,Margaret White,Beauty,Fragrances,1039.95,2,5.0,104.0,1975.9,Gift Card,2022-05-20,2022,5,2,2022-05,Shipped,False,North,Massachusetts
ORD-112708,CUST-2121,Margaret Harris,Beauty,Fragrances,688.19,7,0.0,0.0,4817.33,Paypal,2023-07-27,2023,7,3,2023-07,Shipped,False,West,California
ORD-114896,CUST-1770,Linda Jones,Food & Beverage,Organic,808.39,2,10.0,161.68,1455.1,Paypal,2022-01-06,2022,1,1,2022-01,Delivered,False,North,New Jersey
ORD-109963,CUST-1588,Margaret Anderson,Clothing,Accessories,827.22,8,10.0,661.78,5955.98,Gift Card,2024-01-07,2024,1,1,2024-01,Processing,False,North,Connecticut
ORD-107625,CUST-1306,Sandra Thomas,Food & Beverage,Beverages,977.66,9,0.0,0.0,8798.94,Bank Transfer,2023-07-07,2023,7,3,2023-07,Returned,True,West,Oregon
ORD-107525,CUST-1815,Nancy Taylor,Clothing,Men'S Wear,920.96,8,0.0,0.0,7367.68,Credit Card,2023-05-03,2023,5,2,2023-05,Delivered,False,South,Florida
ORD-113962,CUST-3457,Robert Davis,Home & Garden,Kitchenware,1400.59,5,0.0,0.0,7002.95,Bank Transfer,2022-01-26,2022,1,1,2022-01,Shipped,False,West,Nevada
ORD-108511,CUST-1755,Matthew Thomas,Food & Beverage,Supplements,979.26,3,15.0,440.67,2497.11,Credit Card,2023-10-20,2023,10,4,2023-10,Returned,True,West,Washington
ORD-114797,CUST-1858,Richard Young,Toys,Stem Toys,284.09,2,10.0,56.82,511.36,Credit Card,2024-05-21,2024,5,2,2024-05,Shipped,False,South,North Carolina
ORD-102140,CUST-5594,Emily Robinson,Sports,Fitness Equipment,1229.5,3,25.0,922.12,2766.38,Paypal,2024-03-17,2024,3,1,2024-03,Processing,False,South,North Carolina
ORD-106245,CUST-2159,Robert King,Toys,Stem Toys,912.04,7,0.0,0.0,6384.28,Credit Card,2022-07-02,2022,7,3,2022-07,Processing,False,East,Wisconsin
ORD-112697,CUST-3578,Betty Johnson,Clothing,Footwear,1254.74,5,0.0,0.0,6273.7,Debit Card,2023-07-09,2023,7,3,2023-07,Returned,True,South,Virginia
ORD-104038,CUST-5010,Sandra Young,Books,Fiction,990.84,8,0.0,0.0,7926.72,Credit Card,2023-09-25,2023,9,3,2023-09,Processing,False,South,Virginia
ORD-103877,CUST-4802,Thomas Jackson,Sports,Cycling,741.74,2,5.0,74.17,1409.31,Debit Card,2022-03-24,2022,3,1,2022-03,Cancelled,False,South,North Carolina
ORD-101323,CUST-1763,Daniel Thomas,Clothing,Men'S Wear,332.72,9,0.0,0.0,2994.48,Bank Transfer,2024-04-25,2024,4,2,2024-04,Processing,False,Central,Kansas
ORD-112400,CUST-1524,Thomas Thomas,Sports,Water Sports,741.74,7,0.0,0.0,5192.18,Debit Card,2024-03-10,2024,3,1,2024-03,Processing,False,East,Wisconsin
