order_id,customer_id,customer_name,category,sub_category,unit_price,quantity,discount_pct,payment_method,order_date,shipping_status,region,state
ORD-107039,CUST-5125,Daniel Thomas,Sports,Outdoor Gear,,3,0,PAYPAL,07/24/2023,Shipped,South,Florida
ORD-114368,CUST-1543,John Davis,Beauty,Skincare,1443.3,9,15,BANK TRANSFER,11/17/2022,Returned,South,Georgia
ORD-103289,CUST-4012,Susan Harris,HOME & GARDEN,Lighting,309.19,6,10,GIFT CARD,02/06/2023,Processing,West,Washington
ORD-103842,CUST-3628,Mary Davis,Home & Garden,Furniture,716.02,1,,Gift Card,11-Mar-2022,  Cancelled  ,South,Virginia
ORD-112700,CUST-1822,Margaret Jones,Home & Garden,Bedding,734.92,3,5,PayPal,05/13/2022,Processing,East,Wisconsin
ORD-107044,CUST-4054,Joseph Anderson,Sports,Cycling,1399.31,1,20,Debit Card,2022-02-11,Returned,East,Illinois
ORD-109458,CUST-2574,Anthony King,Beauty,Fragrances,996.41,5,0,Gift Card,17-Feb-2023,Returned,East,Indiana
ORD-100251,CUST-1764,Susan Martin,Books,Academic,580.72,4,0,Bank Transfer,28-May-2023,Returned,North,New York
ORD-103288,CUST-2367,Sandra Lewis,Beauty,Skincare,1353.15,9,10,Debit Card,2024-01-25,cancelled,North,Massachusetts
ORD-110223,CUST-3899,Nancy Williams,Sports,Cycling,394.29,3,10,Bank Transfer,13-Feb-2022,Returned,West,California
ORD-113980,CUST-5155,Nancy Wilson,  Toys  ,Board Games,174.26,7,5,PayPal,2023-03-24,Delivered,East,Wisconsin
ORD-108798,CUST-4083,Michael Garcia,Food & Beverage,Organic,194.19,1,25,PayPal,23-Sep-2023,Delivered,West,Nevada
ORD-103058,CUST-4393,Lisa Harris,Toys,Puzzles,118.0,6,0,Debit Card,11/24/2022,Cancelled,South,Florida
ORD-100339,CUST-5543,Nancy Robinson,Toys,Dolls,151.26,4,25,Debit Card,2022-06-22,Cancelled,West,California
ORD-106955,CUST-2220,Emily Miller,Beauty,Skincare,542.94,2,,GIFT CARD,03/28/2023,Cancelled,East,Michigan
ORD-104676,CUST-1255,Sandra Taylor,Beauty,Fragrances,75.56,3,5,paypal,28-Jan-2024,Delivered,Central,Kansas
ORD-111194,CUST-1734,John Garcia,Electronics,Cameras,196.7,1,0,gift card,02/28/2024,Delivered,Central,Iowa
ORD-109191,CUST-1313,Nancy Young,home & garden,Kitchenware,28.39,9,0,PAYPAL,09-Jun-2024,Cancelled,West,Washington
ORD-111621,CUST-1234,Jessica Thompson,Home & Garden,Bedding,414.71,8,20,PayPal,06-Sep-2022,Processing,South,Virginia
ORD-109604,CUST-3227,Richard Walker,Sports,Water Sports,982.28,6,10,Gift Card,03/19/2024,Shipped,East,Michigan
ORD-108101,CUST-4182,Ashley Jones,CLOTHING,Accessories,1482.45,7,10,PayPal,01/24/2024,processing,North,New Jersey
ORD-114184,CUST-4837,Richard Martin,Electronics,Tablets,845.04,8,25,Debit Card,2023-11-13,Shipped,Central,Minnesota
ORD-104031,CUST-1038,Christopher Thomas,HOME & GARDEN,Lighting,409.61,2,0,Credit Card,02-Jul-2022,Shipped,East,Michigan
ORD-104265,CUST-4662,Patricia Brown,BOOKS,Fiction,665.84,4,15,Gift Card,20-Jan-2024,Cancelled,Central,Missouri
ORD-102680,CUST-3914,Karen Smith,Clothing,Men's Wear,405.05,4,10,GIFT CARD,09/29/2023,Cancelled,North,Pennsylvania
ORD-101402,CUST-4621,Linda Thompson,Food & Beverage,Coffee & Tea,59.82,5,10,Credit Card,04/12/2024,returned,Central,Kansas
ORD-113546,CUST-4755,Anthony Martin,Books,Non-Fiction,875.91,4,,Debit Card,01/17/2022,returned,North,New York
ORD-109773,CUST-5771,Susan Lewis,Home & Garden,Garden Tools,634.96,4,10,  Gift Card  ,12-Sep-2022,Returned,South,Florida
ORD-113578,CUST-4874,Patricia Johnson,Home & Garden,Lighting,1453.15,4,20,bank transfer,2022-01-12,PROCESSING,Central,Kansas
ORD-113968,CUST-4626,Jessica Lewis,Electronics,Smartphones,1144.54,8,5,Debit Card,2023-10-13,Delivered,East,Michigan
ORD-106259,CUST-1413,Susan Harris,toys,STEM Toys,327.12,9,0,Bank Transfer,11/08/2022,shipped,West,Arizona
ORD-112649,CUST-3282,Nancy Taylor,  Food & Beverage  ,Coffee & Tea,1375.98,9,10,Debit Card,05/28/2023,Delivered,Central,Kansas
ORD-111098,CUST-4438,Christopher Wright,Beauty,Fragrances,1098.36,8,5,  PayPal  ,09/03/2022,Cancelled,West,Nevada
ORD-104395,CUST-1463,Karen Williams,clothing,Accessories,1264.04,6,5,Gift Card,2022-11-30,Returned,North,Pennsylvania
ORD-101547,CUST-1320,,Books,Academic,827.59,6,0,Debit Card,08-May-2024,RETURNED,Central,Kansas
ORD-100794,CUST-2510,Charles Davis,Clothing,Footwear,32.07,9,0,Credit Card,20-Jan-2022,Returned,Central,Missouri
ORD-101225,CUST-5625,Linda Thomas,clothing,Footwear,959.6,1,10,gift card,06/27/2023,RETURNED,Central,Minnesota
ORD-111976,CUST-2398,William Allen,Clothing,Women's Wear,674.08,3,,debit card,2023-10-05,Shipped,West,Nevada
ORD-102805,CUST-2140,Jessica Taylor,Beauty,Skincare,1466.08,8,0,Credit Card,2022-11-27,Delivered,Central,Colorado
ORD-113552,CUST-2202,Margaret Wilson,Food & Beverage,Coffee & Tea,1217.88,7,20,Bank Transfer,09/08/2023,CANCELLED,South,Texas
ORD-104104,CUST-1885,Barbara Johnson,Sports,Fitness Equipment,447.42,7,0,Gift Card,2023-12-18,Shipped,East,Ohio
ORD-106817,CUST-3324,Christopher White,Toys,Board Games,1399.09,7,0,Bank Transfer,09/28/2022,CANCELLED,West,California
ORD-108809,CUST-1076,Jessica Robinson,Books,Comics,188.75,9,15,Bank Transfer,01/08/2023,delivered,West,California
ORD-110939,CUST-4336,Margaret Harris,Toys,Board Games,35.32,9,20,Credit Card,05/08/2022,delivered,South,Georgia
ORD-103886,CUST-4654,Joseph Allen,toys,Board Games,1375.05,6,0,Bank Transfer,05/11/2024,Processing,South,Georgia
ORD-111717,CUST-5777,Linda Davis,Clothing,Footwear,1044.63,9,0,  Gift Card  ,25-Mar-2023,Delivered,South,Florida
ORD-114068,CUST-2708,Ashley Young,Books,Fiction,1199.06,,5,Gift Card,04/25/2023,Delivered,Central,Minnesota
ORD-103111,CUST-1675,John Johnson,Sports,Team Sports,366.82,1,0,PayPal,2023-04-07,Delivered,West,Washington
ORD-112023,CUST-1514,,Sports,Team Sports,1461.49,7,0,Credit Card,04-Feb-2022,,East,Illinois
ORD-102122,CUST-1258,David Martin,Beauty,Makeup,1450.85,7,5,Bank Transfer,05/01/2024,Returned,Central,Missouri
ORD-114008,CUST-4630,Michael Jackson,Sports,Fitness Equipment,753.54,7,0,Debit Card,11/10/2022,Delivered,East,Wisconsin
ORD-112736,CUST-5783,Patricia Wright,Clothing,Women's Wear,353.41,5,10,paypal,08/21/2022,Delivered,Central,Iowa
ORD-100708,CUST-1235,Thomas Lewis,Beauty,Haircare,385.69,5,0,GIFT CARD,2022-01-21,Returned,East,Indiana
ORD-100884,CUST-5945,Patricia Davis,Electronics,Laptops,1200.87,4,10,Gift Card,26-Sep-2023,cancelled,East,Illinois
ORD-102448,CUST-3821,Michael Williams,Clothing,Accessories,91.18,3,5,Bank Transfer,2024-03-12,delivered,Central,Minnesota
ORD-113958,CUST-5828,Mark Thompson,Sports,Team Sports,971.66,7,,Credit Card,21-May-2022,Shipped,Central,Kansas
ORD-110861,CUST-3113,Donald Lewis,  Toys  ,Board Games,512.6,2,10,PayPal,07/03/2023,  Shipped  ,West,Washington
ORD-101534,CUST-2542,Patricia Williams,Toys,Dolls,623.26,7,10,gift card,02/20/2022,Processing,West,California
ORD-101034,CUST-5371,Sandra Allen,Beauty,Fragrances,120.05,2,0,PAYPAL,26-Jan-2023,Processing,West,Washington
ORD-104746,CUST-5232,Margaret Wilson,  Clothing  ,Footwear,288.86,2,,Credit Card,2022-03-28,delivered,West,California
ORD-113320,CUST-5479,Emily Davis,Electronics,Tablets,1023.89,7,20,Bank Transfer,2023-10-04,cancelled,North,Pennsylvania
ORD-110010,CUST-1973,Lisa Smith,Home & Garden,Lighting,1329.68,5,5,BANK TRANSFER,10-Aug-2022,Shipped,Central,Colorado
ORD-113826,CUST-1292,Michael Wright,Beauty,Skincare,738.24,3,10,,19-Mar-2023,Shipped,East,Illinois
ORD-112815,CUST-3730,Donald Smith,Sports,Fitness Equipment,156.22,3,15,Credit Card,19-Oct-2023,Returned,South,Florida
ORD-103014,CUST-3855,Sarah Wright,Beauty,Haircare,933.83,1,0,Bank Transfer,24-Feb-2023,,South,Virginia
ORD-101593,CUST-1149,Mary Lewis,Food & Beverage,Snacks,160.64,1,15,Credit Card,2023-09-11,cancelled,East,Ohio
ORD-103474,CUST-4235,John Davis,BEAUTY,Skincare,1258.04,5,5,  Gift Card  ,2022-06-03,delivered,West,Washington
ORD-102357,CUST-1371,Anthony Jackson,TOYS,STEM Toys,104.33,5,10,paypal,28-Apr-2024,Processing,North,New Jersey
ORD-106664,CUST-3121,Betty Thompson,Books,Non-Fiction,1340.8,7,20,Credit Card,09/28/2023,Cancelled,East,Illinois
ORD-114194,CUST-1598,David Brown,BEAUTY,Makeup,152.64,7,5,PayPal,01/06/2022,Delivered,Central,Minnesota
ORD-102087,CUST-3609,Jessica Young,Electronics,Tablets,986.89,8,20,GIFT CARD,11-Feb-2023,processing,West,Oregon
ORD-110200,CUST-5519,Margaret Thomas,Sports,Fitness Equipment,784.3,4,20,Bank Transfer,2024-06-18,Processing,North,Pennsylvania
ORD-103447,CUST-1994,Ashley Wright,Books,Non-Fiction,1074.07,4,15,PayPal,2023-08-23,Delivered,North,Pennsylvania
ORD-103269,CUST-2039,Patricia Smith,Toys,Board Games,1034.5,6,0,Credit Card,21-Dec-2022,Delivered,North,New Jersey
ORD-110774,CUST-5072,Karen Young,  Toys  ,STEM Toys,324.83,1,0,CREDIT CARD,01/01/2024,Delivered,West,Washington
ORD-108953,CUST-5815,Linda Wright,Books,Academic,849.4,6,0,Debit Card,02/13/2023,,North,New York
ORD-108570,CUST-2164,Richard Jones,Food & Beverage,Supplements,592.79,4,0,PayPal,11-Apr-2023,DELIVERED,North,Pennsylvania
ORD-108719,CUST-5655,Mark Wilson,Electronics,Cameras,746.1,4,0,Gift Card,05/26/2024,Delivered,North,New Jersey
ORD-100937,CUST-1422,Christopher Thompson,Toys,Board Games,1371.88,2,0,Credit Card,03/02/2023,RETURNED,West,Arizona
ORD-114405,CUST-2512,Nancy Walker,Sports,Water Sports,48.41,7,0,Bank Transfer,23-Sep-2023,Cancelled,West,Oregon
ORD-105701,CUST-3649,Betty Wright,BOOKS,Academic,535.05,7,10,Gift Card,12/30/2022,PROCESSING,North,New York
ORD-108654,CUST-1197,Mary White,Food & Beverage,Coffee & Tea,560.34,8,0,Bank Transfer,11-Sep-2023,Delivered,Central,Minnesota
ORD-113730,CUST-5663,Karen Martin,Sports,Fitness Equipment,513.64,9,0,debit card,20-Dec-2023,Returned,South,Florida
ORD-104751,CUST-4324,Donald Davis,Beauty,Fragrances,669.05,5,5,Debit Card,14-May-2023,Returned,East,Michigan
ORD-107502,CUST-5088,Jennifer Smith,Sports,Water Sports,192.01,8,20,Bank Transfer,12-Oct-2023,,West,Nevada
ORD-105849,CUST-1241,Joseph Garcia,Toys,STEM Toys,761.54,5,0,PayPal,30-Dec-2022,Returned,East,Michigan
ORD-110615,CUST-5764,Patricia Anderson,Electronics,Tablets,769.39,3,20,Bank Transfer,06/15/2024,  Cancelled  ,Central,Iowa
ORD-114564,CUST-5264,Karen Garcia,Toys,Action Figures,679.57,1,5,Debit Card,14-Nov-2022,Processing,North,New York
ORD-110029,CUST-5007,Daniel Wilson,  Electronics  ,Tablets,1009.99,5,0,Credit Card,2022-02-01,processing,North,New York
ORD-113865,CUST-2395,Daniel Jones,Home & Garden,Kitchenware,1006.24,1,0,Debit Card,23-Feb-2022,Shipped,North,Connecticut
ORD-109520,CUST-4677,Joseph White,Clothing,Men's Wear,486.9,8,0,Gift Card,03/10/2023,  Shipped  ,East,Michigan
ORD-103087,CUST-5734,Karen Wright,Clothing,Women's Wear,,2,15,paypal,2022-01-19,Processing,East,Indiana
ORD-102957,CUST-2366,Ashley Harris,Beauty,Haircare,1293.23,6,20,paypal,05-Jan-2023,Shipped,South,Georgia
ORD-109780,CUST-5939,Sandra Garcia,toys,STEM Toys,551.04,3,10,PayPal,2023-04-24,Cancelled,East,Indiana
ORD-108209,CUST-4987,John Anderson,Toys,Puzzles,240.7,9,0,Bank Transfer,03/06/2022,  Processing  ,North,Connecticut
ORD-114209,CUST-2845,Karen Johnson,food & beverage,Supplements,40.59,7,0,  Credit Card  ,11/27/2023,Processing,Central,Iowa
ORD-109581,CUST-1751,John Allen,home & garden,Bedding,823.68,1,20,Credit Card,02-Feb-2022,CANCELLED,North,Massachusetts
ORD-101053,CUST-3657,Karen Thompson,Electronics,Cameras,1199.18,4,0,Credit Card,2024-05-07,Processing,Central,Colorado
ORD-113902,CUST-1269,Nancy Johnson,Books,Fiction,929.8,6,5,Gift Card,2023-12-17,Returned,Central,Kansas
ORD-105748,CUST-2157,Jessica Thompson,Clothing,Women's Wear,1478.47,7,0,Debit Card,2023-01-05,  Delivered  ,South,North Carolina
ORD-107501,CUST-4479,Donald Williams,Books,Fiction,1250.18,4,15,Gift Card,05/09/2022,Delivered,East,Illinois
ORD-109599,CUST-3483,Robert Davis,Electronics,Headphones,600.76,4,15,Credit Card,25-Jun-2024,Shipped,Central,Kansas
ORD-109892,CUST-2541,Lisa Young,Food & Beverage,Coffee & Tea,1218.73,5,20,Debit Card,09/02/2023,Cancelled,South,Florida
ORD-109313,CUST-1563,Sandra Thomas,Electronics,Cameras,554.93,7,10,Credit Card,11/09/2023,Returned,North,New Jersey
ORD-103684,CUST-4352,Christopher Davis,Clothing,Footwear,,4,10,Bank Transfer,2022-02-23,  Cancelled  ,South,Florida
ORD-109238,CUST-4069,Sandra Williams,Sports,Water Sports,746.85,4,5,Credit Card,11/06/2023,Shipped,West,Nevada
ORD-110558,CUST-5301,Sandra Lewis,Sports,Outdoor Gear,468.1,1,0,Gift Card,09/16/2023,Shipped,North,Pennsylvania
ORD-107691,CUST-4712,Joseph Thompson,Clothing,Men's Wear,1322.25,2,0,Credit Card,19-Sep-2022,Processing,East,Michigan
ORD-113706,CUST-3736,Lisa Lewis,Toys,Board Games,841.96,3,0,CREDIT CARD,25-Sep-2022,Delivered,Central,Iowa
ORD-106067,CUST-1476,Robert Wilson,Beauty,Makeup,504.4,5,5,,03/08/2022,Cancelled,South,North Carolina
ORD-107507,CUST-4278,Mark Thomas,Home & Garden,Furniture,493.78,1,0,BANK TRANSFER,04/24/2022,Cancelled,South,Florida
ORD-102638,CUST-1381,Betty Jones,Clothing,Kids' Wear,1426.41,8,20,Debit Card,02/14/2022,SHIPPED,South,Texas
ORD-108727,CUST-5427,Daniel White,Toys,Action Figures,326.04,7,0,  PayPal  ,2022-08-22,Processing,West,Arizona
ORD-111616,CUST-2970,Anthony Lewis,  Home & Garden  ,Furniture,485.45,3,0,Credit Card,2022-05-17,Cancelled,East,Indiana
ORD-111858,CUST-5736,Jessica Davis,Beauty,Haircare,1189.36,7,10,gift card,27-May-2023,cancelled,North,Connecticut
ORD-110460,CUST-3295,Michael Young,CLOTHING,Kids' Wear,760.06,9,0,Gift Card,04-Dec-2023,Cancelled,West,Arizona
ORD-104336,CUST-4545,Christopher Brown,Clothing,Kids' Wear,901.19,4,5,Gift Card,05/08/2022,Returned,North,Massachusetts
ORD-102932,CUST-3436,William Wright,sports,Fitness Equipment,122.29,8,0,Gift Card,11/05/2022,Shipped,Central,Kansas
ORD-104503,CUST-3101,Sarah Davis,Electronics,Headphones,14.66,5,0,Debit Card,2022-05-22,returned,North,Connecticut
ORD-106661,CUST-2789,Jessica Martin,Books,Children's,665.57,6,0,Credit Card,05/06/2023,Returned,South,Texas
ORD-101006,CUST-1357,Margaret White,Beauty,Fragrances,1039.95,2,5,gift card,05/20/2022,Shipped,North,Massachusetts
ORD-112708,CUST-2121,Margaret Harris,Beauty,Fragrances,688.19,7,0,PayPal,2023-07-27,  Shipped  ,West,California
ORD-114896,CUST-1770,Linda Jones,Food & Beverage,Organic,808.39,2,10,PayPal,01/06/2022,delivered,North,New Jersey
ORD-109963,CUST-1588,Margaret Anderson,Clothing,Accessories,827.22,8,10,GIFT CARD,2024-01-07,Processing,North,Connecticut
ORD-107625,CUST-1306,Sandra Thomas,Food & Beverage,Beverages,977.66,9,0,bank transfer,07-Jul-2023,Returned,West,Oregon
ORD-107525,CUST-1815,Nancy Taylor,Clothing,Men's Wear,920.96,8,0,Credit Card,05/03/2023,Delivered,South,Florida
ORD-113962,CUST-3457,Robert Davis,HOME & GARDEN,Kitchenware,1400.59,5,0,Bank Transfer,2022-01-26,Shipped,West,Nevada
ORD-108511,CUST-1755,Matthew Thomas,FOOD & BEVERAGE,Supplements,979.26,3,15,CREDIT CARD,2023-10-20,RETURNED,West,Washington
ORD-114797,CUST-1858,Richard Young,  Toys  ,STEM Toys,284.09,2,10,CREDIT CARD,05/21/2024,Shipped,South,North Carolina
ORD-102140,CUST-5594,Emily Robinson,Sports,Fitness Equipment,1229.5,3,25,PAYPAL,03/17/2024,Processing,South,North Carolina
ORD-106245,CUST-2159,Robert King,Toys,STEM Toys,912.04,7,0,Credit Card,02-Jul-2022,Processing,East,Wisconsin
ORD-112697,CUST-3578,Betty Johnson,Clothing,Footwear,1254.74,5,0,Debit Card,07/09/2023,Returned,South,Virginia
ORD-104038,CUST-5010,Sandra Young,Books,Fiction,990.84,8,,Credit Card,2023-09-25,Processing,South,Virginia
ORD-103877,CUST-4802,Thomas Jackson,SPORTS,Cycling,,2,5,Debit Card,03/24/2022,Cancelled,South,North Carolina
ORD-101323,CUST-1763,Daniel Thomas,Clothing,Men's Wear,332.72,9,0,Bank Transfer,2024-04-25,Processing,Central,Kansas
ORD-112400,CUST-1524,Thomas Thomas,SPORTS,Water Sports,,7,0,debit card,03/10/2024,Processing,East,Wisconsin
ORD-102270,CUST-4911,Daniel Thompson,food & beverage,Beverages,160.82,6,20,Bank Transfer,09-Oct-2023,CANCELLED,North,New York
ORD-100379,CUST-5771,David Lewis,Clothing,Kids' Wear,426.37,9,5,BANK TRANSFER,05/31/2022,Cancelled,West,Washington
ORD-110394,CUST-3311,Jennifer Robinson,Beauty,Makeup,81.55,8,10,Debit Card,30-Mar-2022,,North,Pennsylvania
ORD-103205,CUST-4168,,Electronics,Smartphones,1257.67,6,0,Gift Card,03/30/2023,Returned,North,New York
ORD-109840,CUST-1260,Jessica Johnson,Food & Beverage,Beverages,1289.18,5,0,credit card,2024-02-27,Shipped,Central,Iowa
ORD-104982,CUST-1738,Christopher Walker,Home & Garden,Bedding,996.65,6,0,credit card,09-Apr-2023,,East,Indiana
ORD-108771,CUST-3014,Mary Robinson,Home & Garden,Furniture,398.55,3,15,Bank Transfer,26-Dec-2022,RETURNED,East,Wisconsin
ORD-106061,CUST-3696,Mark Davis,Electronics,Smartphones,-503.28,6,0,GIFT CARD,01/19/2023,Delivered,North,Pennsylvania
ORD-114960,CUST-5542,William Walker,Books,Fiction,757.29,4,0,Bank Transfer,27-Sep-2022,Shipped,North,Pennsylvania
ORD-109592,CUST-2344,Patricia King,Toys,STEM Toys,,1,0,Gift Card,04/07/2023,Shipped,East,Michigan
ORD-108739,CUST-1004,Sarah Martin,Toys,Action Figures,888.18,5,10,credit card,2022-09-18,Delivered,South,Texas
ORD-104829,CUST-4157,Patricia Robinson,Beauty,Personal Care,757.5,6,5,PayPal,19-Mar-2024,SHIPPED,North,New Jersey
ORD-103508,CUST-5460,Mary Taylor,Toys,Dolls,1271.84,1,15,Gift Card,11/26/2022,Cancelled,East,Wisconsin
ORD-103941,CUST-1885,James Allen,Beauty,Fragrances,1347.46,5,0,PayPal,24-Dec-2023,Cancelled,North,Connecticut
ORD-103013,CUST-3152,Anthony Jones,Food & Beverage,Beverages,532.67,1,0,paypal,02/18/2022,Shipped,South,Virginia
ORD-104540,CUST-1444,Ashley Brown,food & beverage,Coffee & Tea,261.89,6,0,Debit Card,06/27/2024,Cancelled,East,Illinois
ORD-107946,CUST-1084,Thomas Wilson,HOME & GARDEN,Garden Tools,939.29,2,0,,18-Oct-2023,cancelled,East,Wisconsin
ORD-113604,CUST-2841,James Robinson,Beauty,Fragrances,32.56,9,20,Bank Transfer,31-Jul-2023,Delivered,South,Virginia
ORD-100149,CUST-2323,William Martin,Food & Beverage,Snacks,421.58,5,15,CREDIT CARD,16-Jun-2022,Processing,North,Connecticut
ORD-114126,CUST-5691,Robert Davis,Books,Children's,1037.38,1,10,bank transfer,23-Apr-2022,delivered,East,Indiana
ORD-110811,CUST-1457,Jessica Taylor,Toys,Action Figures,1137.48,2,0,Bank Transfer,07-Apr-2022,Processing,South,Texas
ORD-112072,CUST-1597,Barbara White,HOME & GARDEN,Lighting,227.9,2,0,Debit Card,2023-06-06,Delivered,Central,Colorado
ORD-100476,CUST-3465,Patricia Smith,clothing,Women's Wear,115.33,7,0,Credit Card,02-Mar-2023,Cancelled,South,Georgia
ORD-101766,CUST-2634,David Garcia,Food & Beverage,Coffee & Tea,1107.35,3,0,Credit Card,08-Apr-2024,Cancelled,Central,Minnesota
ORD-108674,CUST-3664,Sandra Smith,Home & Garden,Lighting,94.81,7,,Debit Card,09/25/2022,Shipped,Central,Minnesota
ORD-114858,CUST-2320,Lisa Thomas,Toys,Puzzles,883.96,2,0,Gift Card,17-Apr-2023,Cancelled,West,Nevada
ORD-101213,CUST-3260,John Wright,Clothing,Men's Wear,1193.24,8,0,paypal,08/28/2022,RETURNED,East,Indiana
ORD-112507,CUST-2891,William Smith,Books,Academic,1435.04,7,0,Gift Card,2023-03-30,Processing,South,Florida
ORD-110413,CUST-2545,Margaret Lewis,Clothing,Kids' Wear,,1,,PayPal,2023-08-01,Cancelled,South,Florida
ORD-106330,CUST-3791,Joseph Smith,Beauty,Haircare,61.16,2,0,Gift Card,2023-05-13,returned,West,Washington
ORD-110668,CUST-1076,,Sports,Cycling,1058.36,3,20,gift card,2022-01-12,Cancelled,Central,Minnesota
ORD-100169,CUST-2030,Anthony Garcia,Books,Comics,888.38,,0,,04/07/2024,Cancelled,East,Ohio
ORD-110241,CUST-2352,Daniel King,Beauty,Makeup,,6,0,PayPal,11-Mar-2022,Delivered,South,Texas
ORD-105576,CUST-5613,Mark Johnson,Electronics,Smartphones,977.03,9,10,Credit Card,09-Apr-2024,RETURNED,North,Connecticut
ORD-106739,CUST-1303,Mark Brown,Food & Beverage,Organic,1407.98,9,20,PayPal,12/12/2022,Cancelled,North,Pennsylvania
ORD-104830,CUST-2083,Betty White,Clothing,Women's Wear,1195.68,5,5,Credit Card,2022-06-14,Processing,West,Oregon
ORD-113222,CUST-1722,Joseph Martin,Beauty,Haircare,1176.96,9,0,Gift Card,01/22/2024,Delivered,East,Michigan
ORD-106366,CUST-1001,Robert Taylor,Sports,Team Sports,538.37,9,20,Debit Card,2024-02-27,Cancelled,South,North Carolina
ORD-104115,CUST-2254,Patricia Brown,Books,Fiction,514.73,7,0,Credit Card,29-Jan-2022,SHIPPED,West,Oregon
ORD-109125,CUST-5304,Thomas Walker,Sports,Team Sports,1442.83,8,0,PayPal,02-Mar-2023,processing,North,Connecticut
ORD-104745,CUST-1637,Barbara Allen,Home & Garden,Kitchenware,85.48,3,10,PayPal,29-Apr-2023,Delivered,South,North Carolina
ORD-103616,CUST-5632,Richard Wright,Books,Fiction,837.39,1,0,PayPal,01/26/2023,Shipped,West,Arizona
ORD-110375,CUST-4185,Betty Walker,Sports,Outdoor Gear,742.78,4,0,Credit Card,04/08/2023,DELIVERED,Central,Missouri
ORD-101743,CUST-3925,Richard Wilson,Electronics,Headphones,21.49,3,10,Bank Transfer,2023-03-29,Cancelled,North,New York
ORD-111264,CUST-1969,Anthony Martin,Clothing,Footwear,1091.47,7,5,Gift Card,05-Apr-2023,Cancelled,South,Virginia
ORD-107923,CUST-5048,Jennifer Wright,clothing,Kids' Wear,123.98,7,0,  Credit Card  ,2022-02-10,  Processing  ,East,Illinois
ORD-101489,CUST-3096,Nancy Johnson,Electronics,Tablets,675.8,1,10,Debit Card,04/08/2022,Shipped,West,Nevada
ORD-111239,CUST-3600,Nancy Davis,Beauty,Personal Care,422.77,9,0,Gift Card,05/13/2022,,South,Georgia
ORD-107944,CUST-4753,Emily Brown,Beauty,Personal Care,575.21,8,0,  Bank Transfer  ,2023-04-28,Shipped,South,North Carolina
ORD-103379,CUST-1782,Charles Garcia,Books,Fiction,1049.93,7,0,PayPal,01/14/2022,Shipped,West,Nevada
ORD-102966,CUST-1078,Lisa Jackson,toys,STEM Toys,1091.95,9,0,Debit Card,09-Oct-2023,Delivered,West,California
ORD-108726,CUST-4058,Sandra Taylor,Beauty,Fragrances,608.7,9,10,DEBIT CARD,22-Apr-2024,SHIPPED,East,Indiana
ORD-105861,CUST-1214,Thomas Jackson,Books,Academic,779.43,1,20,Credit Card,06-May-2023,Shipped,North,Massachusetts
ORD-109418,CUST-2451,Jessica Wilson,Home & Garden,Bedding,793.8,8,0,Bank Transfer,03/20/2023,RETURNED,South,Virginia
ORD-101358,CUST-4515,,food & beverage,Supplements,418.86,6,5,debit card,23-Mar-2024,PROCESSING,North,Connecticut
ORD-110626,CUST-2486,Barbara Davis,Food & Beverage,Snacks,1258.05,6,0,Credit Card,2022-02-04,Delivered,South,Virginia
